name,Year,Population,Density
Alabama,2010,4785492,50750
Alabama,2011,4799918,50750
Alabama,2012,4815960,50750
Alabama,2013,4829479,50750
Alabama,2014,4843214,50750
Alabama,2015,4853875,50750
Alabama,2016,4863300,50750
Alaska,2010,714031,570641
Alaska,2011,722713,570641
Alaska,2012,731089,570641
Alaska,2013,736879,570641
Alaska,2014,736705,570641
Alaska,2015,737709,570641
Alaska,2016,741894,570641
Arizona,2010,6408312,113642
Arizona,2011,6467163,113642
Arizona,2012,6549634,113642
Arizona,2013,6624617,113642
Arizona,2014,6719993,113642
Arizona,2015,6817565,113642
Arizona,2016,6931071,113642
Arkansas,2010,2921995,52075
Arkansas,2011,2939493,52075
Arkansas,2012,2950685,52075
Arkansas,2013,2958663,52075
Arkansas,2014,2966912,52075
Arkansas,2015,2977853,52075
Arkansas,2016,2988248,52075
California,2010,37332685,155973
California,2011,37676861,155973
California,2012,38011074,155973
California,2013,38335203,155973
California,2014,38680810,155973
California,2015,38993940,155973
California,2016,39250017,155973
Colorado,2010,5048644,103730
Colorado,2011,5118360,103730
Colorado,2012,5189867,103730
Colorado,2013,5267603,103730
Colorado,2014,5349648,103730
Colorado,2015,5448819,103730
Colorado,2016,5540545,103730
Connecticut,2010,3579899,4845
Connecticut,2011,3589893,4845
Connecticut,2012,3593795,4845
Connecticut,2013,3596003,4845
Connecticut,2014,3591873,4845
Connecticut,2015,3584730,4845
Connecticut,2016,3576452,4845
Delaware,2010,899816,1955
Delaware,2011,907924,1955
Delaware,2012,916993,1955
Delaware,2013,925395,1955
Delaware,2014,934948,1955
Delaware,2015,944076,1955
Delaware,2016,952065,1955
District of Columbia,2010,605183,#N/A
District of Columbia,2011,620477,#N/A
District of Columbia,2012,635327,#N/A
District of Columbia,2013,649165,#N/A
District of Columbia,2014,659005,#N/A
District of Columbia,2015,670377,#N/A
District of Columbia,2016,681170,#N/A
Florida,2010,18849098,53997
Florida,2011,19096952,53997
Florida,2012,19344156,53997
Florida,2013,19582022,53997
Florida,2014,19888741,53997
Florida,2015,20244914,53997
Florida,2016,20612439,53997
Georgia,2010,9713521,57919
Georgia,2011,9811610,57919
Georgia,2012,9914668,57919
Georgia,2013,9984938,57919
Georgia,2014,10087231,57919
Georgia,2015,10199398,57919
Georgia,2016,10310371,57919
Hawaii,2010,1363945,6423
Hawaii,2011,1377864,6423
Hawaii,2012,1391820,6423
Hawaii,2013,1406481,6423
Hawaii,2014,1416349,6423
Hawaii,2015,1425157,6423
Hawaii,2016,1428557,6423
Idaho,2010,1571010,82751
Idaho,2011,1584143,82751
Idaho,2012,1595911,82751
Idaho,2013,1612011,82751
Idaho,2014,1633532,82751
Idaho,2015,1652828,82751
Idaho,2016,1683140,82751
Illinois,2010,12841578,55593
Illinois,2011,12860012,55593
Illinois,2012,12870798,55593
Illinois,2013,12879505,55593
Illinois,2014,12867544,55593
Illinois,2015,12839047,55593
Illinois,2016,12801539,55593
Indiana,2010,6490528,35870
Indiana,2011,6516480,35870
Indiana,2012,6537743,35870
Indiana,2013,6569102,35870
Indiana,2014,6595233,35870
Indiana,2015,6612768,35870
Indiana,2016,6633053,35870
Iowa,2010,3050738,55875
Iowa,2011,3065223,55875
Iowa,2012,3076310,55875
Iowa,2013,3091930,55875
Iowa,2014,3108030,55875
Iowa,2015,3121997,55875
Iowa,2016,3134693,55875
Kansas,2010,2858850,81823
Kansas,2011,2869503,81823
Kansas,2012,2885262,81823
Kansas,2013,2892821,81823
Kansas,2014,2899360,81823
Kansas,2015,2906721,81823
Kansas,2016,2907289,81823
Kentucky,2010,4348662,39732
Kentucky,2011,4369354,39732
Kentucky,2012,4384799,39732
Kentucky,2013,4400477,39732
Kentucky,2014,4413057,39732
Kentucky,2015,4424611,39732
Kentucky,2016,4436974,39732
Louisiana,2010,4544996,43566
Louisiana,2011,4575404,43566
Louisiana,2012,4603429,43566
Louisiana,2013,4626402,43566
Louisiana,2014,4647880,43566
Louisiana,2015,4668960,43566
Louisiana,2016,4681666,43566
Maine,2010,1327730,30865
Maine,2011,1328231,30865
Maine,2012,1328895,30865
Maine,2013,1329076,30865
Maine,2014,1330719,30865
Maine,2015,1329453,30865
Maine,2016,1331479,30865
Maryland,2010,5788584,9775
Maryland,2011,5843603,9775
Maryland,2012,5889651,9775
