region,id,channel,category,sales
2,294,2,FRESH ,3996
2,294,2,MILK ,11103
2,294,2,GROCERY ,12469
2,294,2,FROZEN ,902
2,294,2,DELI ,741
2,294,2,DETERGENTS ,5952
2,295,1,FRESH ,21273
2,295,1,MILK ,2013
2,295,1,GROCERY ,6550
2,295,1,FROZEN ,909
2,295,1,DELI ,1854
2,295,1,DETERGENTS ,811
2,296,2,FRESH ,7588
2,296,2,MILK ,1897
2,296,2,GROCERY ,5234
2,296,2,FROZEN ,417
2,296,2,DELI ,254
2,296,2,DETERGENTS ,2208
2,297,1,FRESH ,19087
2,297,1,MILK ,1304
2,297,1,GROCERY ,3643
2,297,1,FROZEN ,3045
2,297,1,DELI ,898
2,297,1,DETERGENTS ,710
2,298,2,FRESH ,8090
2,298,2,MILK ,3199
2,298,2,GROCERY ,6986
2,298,2,FROZEN ,1455
2,298,2,DELI ,531
2,298,2,DETERGENTS ,3712
2,299,2,FRESH ,6758
2,299,2,MILK ,4560
2,299,2,GROCERY ,9965
2,299,2,FROZEN ,934
2,299,2,DELI ,1037
2,299,2,DETERGENTS ,4538
2,300,1,FRESH ,444
2,300,1,MILK ,879
2,300,1,GROCERY ,2060
2,300,1,FROZEN ,264
2,300,1,DELI ,259
2,300,1,DETERGENTS ,290
2,301,2,FRESH ,16448
2,301,2,MILK ,6243
2,301,2,GROCERY ,6360
2,301,2,FROZEN ,824
2,301,2,DELI ,2005
2,301,2,DETERGENTS ,2662
2,302,2,FRESH ,5283
2,302,2,MILK ,13316
2,302,2,GROCERY ,20399
2,302,2,FROZEN ,1809
2,302,2,DELI ,172
2,302,2,DETERGENTS ,8752
2,303,2,FRESH ,2886
2,303,2,MILK ,5302
2,303,2,GROCERY ,9785
2,303,2,FROZEN ,364
2,303,2,DELI ,555
2,303,2,DETERGENTS ,6236
2,304,2,FRESH ,2599
2,304,2,MILK ,3688
2,304,2,GROCERY ,13829
2,304,2,FROZEN ,492
2,304,2,DELI ,59
2,304,2,DETERGENTS ,10069
2,305,2,FRESH ,161
2,305,2,MILK ,7460
2,305,2,GROCERY ,24773
2,305,2,FROZEN ,617
2,305,2,DELI ,2410
2,305,2,DETERGENTS ,11783
2,306,2,FRESH ,243
2,306,2,MILK ,12939
2,306,2,GROCERY ,8852
2,306,2,FROZEN ,799
2,306,2,DELI ,211
2,306,2,DETERGENTS ,3909
2,307,2,FRESH ,6468
2,307,2,MILK ,12867
2,307,2,GROCERY ,21570
2,307,2,FROZEN ,1840
2,307,2,DELI ,1543
2,307,2,DETERGENTS ,7558
2,308,1,FRESH ,17327
2,308,1,MILK ,2374
2,308,1,GROCERY ,2842
2,308,1,FROZEN ,1149
2,308,1,DELI ,925
2,308,1,DETERGENTS ,351
2,309,1,FRESH ,6987
2,309,1,MILK ,1020
2,309,1,GROCERY ,3007
2,309,1,FROZEN ,416
2,309,1,DELI ,656
2,309,1,DETERGENTS ,257
2,310,2,FRESH ,918
2,310,2,MILK ,20655
2,310,2,GROCERY ,13567
2,310,2,FROZEN ,1465
2,310,2,DELI ,806
2,310,2,DETERGENTS ,6846
2,311,1,FRESH ,7034
2,311,1,MILK ,1492
2,311,1,GROCERY ,2405
2,311,1,FROZEN ,12569
2,311,1,DELI ,1117
2,311,1,DETERGENTS ,299
2,312,1,FRESH ,29635
2,312,1,MILK ,2335
2,312,1,GROCERY ,8280
2,312,1,FROZEN ,3046
2,312,1,DELI ,117
2,312,1,DETERGENTS ,371
2,313,2,FRESH ,2137
2,313,2,MILK ,3737
2,313,2,GROCERY ,19172
2,313,2,FROZEN ,1274
2,313,2,DELI ,142
2,313,2,DETERGENTS ,17120
2,314,1,FRESH ,9784
2,314,1,MILK ,925
2,314,1,GROCERY ,2405
2,314,1,FROZEN ,4447
2,314,1,DELI ,297
2,314,1,DETERGENTS ,183
2,315,1,FRESH ,10617
2,315,1,MILK ,1795
2,315,1,GROCERY ,7647
2,315,1,FROZEN ,1483
2,315,1,DELI ,1233
2,315,1,DETERGENTS ,857
2,316,2,FRESH ,1479
2,316,2,MILK ,14982
2,316,2,GROCERY ,11924
2,316,2,FROZEN ,662
2,316,2,DELI ,3508
