region,id,channel,category,sales
1,197,1,Fresh ,30624
1,197,1,Milk ,7209
1,197,1,Grocery ,4897
1,197,1,Frozen ,18711
1,197,1,Deli ,2876
1,197,1,Detergents ,763
1,198,2,Fresh ,2427
1,198,2,Milk ,7097
1,198,2,Grocery ,10391
1,198,2,Frozen ,1127
1,198,2,Deli ,1468
1,198,2,Detergents ,4314
1,199,1,Fresh ,11686
1,199,1,Milk ,2154
1,199,1,Grocery ,6824
1,199,1,Frozen ,3527
1,199,1,Deli ,697
1,199,1,Detergents ,592
1,200,1,Fresh ,9670
1,200,1,Milk ,2280
1,200,1,Grocery ,2112
1,200,1,Frozen ,520
1,200,1,Deli ,347
1,200,1,Detergents ,402
1,201,2,Fresh ,3067
1,201,2,Milk ,13240
1,201,2,Grocery ,23127
1,201,2,Frozen ,3941
1,201,2,Deli ,731
1,201,2,Detergents ,9959
1,202,2,Fresh ,4484
1,202,2,Milk ,14399
1,202,2,Grocery ,24708
1,202,2,Frozen ,3549
1,202,2,Deli ,1681
1,202,2,Detergents ,14235
1,203,1,Fresh ,25203
1,203,1,Milk ,11487
1,203,1,Grocery ,9490
1,203,1,Frozen ,5065
1,203,1,Deli ,6854
1,203,1,Detergents ,284
1,204,1,Fresh ,583
1,204,1,Milk ,685
1,204,1,Grocery ,2216
1,204,1,Frozen ,469
1,204,1,Deli ,18
1,204,1,Detergents ,954
1,205,1,Fresh ,1956
1,205,1,Milk ,891
1,205,1,Grocery ,5226
1,205,1,Frozen ,1383
1,205,1,Deli ,1328
1,205,1,Detergents ,5
1,206,2,Fresh ,1107
1,206,2,Milk ,11711
1,206,2,Grocery ,23596
1,206,2,Frozen ,955
1,206,2,Deli ,710
1,206,2,Detergents ,9265
1,207,1,Fresh ,6373
1,207,1,Milk ,780
1,207,1,Grocery ,950
1,207,1,Frozen ,878
1,207,1,Deli ,285
1,207,1,Detergents ,288
1,208,2,Fresh ,2541
1,208,2,Milk ,4737
1,208,2,Grocery ,6089
1,208,2,Frozen ,2946
1,208,2,Deli ,120
1,208,2,Detergents ,5316
1,209,1,Fresh ,1537
1,209,1,Milk ,3748
1,209,1,Grocery ,5838
1,209,1,Frozen ,1859
1,209,1,Deli ,806
1,209,1,Detergents ,3381
1,210,2,Fresh ,5550
1,210,2,Milk ,12729
1,210,2,Grocery ,16767
1,210,2,Frozen ,864
1,210,2,Deli ,797
1,210,2,Detergents ,12420
1,211,1,Fresh ,18567
1,211,1,Milk ,1895
1,211,1,Grocery ,1393
1,211,1,Frozen ,1801
1,211,1,Deli ,2100
1,211,1,Detergents ,244
1,212,2,Fresh ,12119
1,212,2,Milk ,28326
1,212,2,Grocery ,39694
1,212,2,Frozen ,4736
1,212,2,Deli ,2870
1,212,2,Detergents ,19410
1,213,1,Fresh ,7291
1,213,1,Milk ,1012
1,213,1,Grocery ,2062
1,213,1,Frozen ,1291
1,213,1,Deli ,1775
1,213,1,Detergents ,240
1,214,1,Fresh ,3317
1,214,1,Milk ,6602
1,214,1,Grocery ,6861
1,214,1,Frozen ,1329
1,214,1,Deli ,1215
1,214,1,Detergents ,3961
1,215,2,Fresh ,2362
1,215,2,Milk ,6551
1,215,2,Grocery ,11364
1,215,2,Frozen ,913
1,215,2,Deli ,791
1,215,2,Detergents ,5957
1,216,1,Fresh ,2806
1,216,1,Milk ,10765
1,216,1,Grocery ,15538
