id,channel,category,sales
1,2,Fresh ,12669
1,2,Milk ,9656
1,2,Grocery ,7561
1,2,Frozen ,214
1,2,Deli ,1338
1,2,Detergents ,2674
2,2,Fresh ,7057
2,2,Milk ,9810
2,2,Grocery ,9568
2,2,Frozen ,1762
2,2,Deli ,1776
2,2,Detergents ,3293
3,2,Fresh ,6353
3,2,Milk ,8808
3,2,Grocery ,7684
3,2,Frozen ,2405
3,2,Deli ,7844
3,2,Detergents ,3516
4,1,Fresh ,13265
4,1,Milk ,1196
4,1,Grocery ,4221
4,1,Frozen ,6404
4,1,Deli ,1788
4,1,Detergents ,507
5,2,Fresh ,22615
5,2,Milk ,5410
5,2,Grocery ,7198
5,2,Frozen ,3915
5,2,Deli ,5185
5,2,Detergents ,1777
6,2,Fresh ,9413
6,2,Milk ,8259
6,2,Grocery ,5126
6,2,Frozen ,666
6,2,Deli ,1451
6,2,Detergents ,1795
7,2,Fresh ,12126
7,2,Milk ,3199
7,2,Grocery ,6975
7,2,Frozen ,480
7,2,Deli ,545
7,2,Detergents ,3140
8,2,Fresh ,7579
8,2,Milk ,4956
8,2,Grocery ,9426
8,2,Frozen ,1669
8,2,Deli ,2566
8,2,Detergents ,3321
9,1,Fresh ,5963
9,1,Milk ,3648
9,1,Grocery ,6192
9,1,Frozen ,425
9,1,Deli ,750
9,1,Detergents ,1716
10,2,Fresh ,6006
10,2,Milk ,11093
10,2,Grocery ,18881
10,2,Frozen ,1159
10,2,Deli ,2098
10,2,Detergents ,7425
11,2,Fresh ,3366
11,2,Milk ,5403
11,2,Grocery ,12974
11,2,Frozen ,4400
11,2,Deli ,1744
11,2,Detergents ,5977
12,2,Fresh ,13146
12,2,Milk ,1124
12,2,Grocery ,4523
12,2,Frozen ,1420
12,2,Deli ,497
12,2,Detergents ,549
13,2,Fresh ,31714
13,2,Milk ,12319
13,2,Grocery ,11757
13,2,Frozen ,287
13,2,Deli ,2931
13,2,Detergents ,3881
14,2,Fresh ,21217
14,2,Milk ,6208
14,2,Grocery ,14982
14,2,Frozen ,3095
14,2,Deli ,602
14,2,Detergents ,6707
15,2,Fresh ,24653
15,2,Milk ,9465
15,2,Grocery ,12091
15,2,Frozen ,294
15,2,Deli ,2168
15,2,Detergents ,5058
16,1,Fresh ,10253
16,1,Milk ,1114
16,1,Grocery ,3821
16,1,Frozen ,397
16,1,Deli ,412
16,1,Detergents ,964
17,2,Fresh ,1020
17,2,Milk ,8816
17,2,Grocery ,12121
17,2,Frozen ,134
17,2,Deli ,1080
17,2,Detergents ,4508
18,1,Fresh ,5876
18,1,Milk ,6157
18,1,Grocery ,2933
18,1,Frozen ,839
18,1,Deli ,4478
18,1,Detergents ,370
19,2,Fresh ,18601
19,2,Milk ,6327
19,2,Grocery ,10099
19,2,Frozen ,2205
19,2,Deli ,3181
19,2,Detergents ,2767
20,1,Fresh ,7780
20,1,Milk ,2495
20,1,Grocery ,9464
20,1,Frozen ,669
20,1,Deli ,501
20,1,Detergents ,2518
21,2,Fresh ,17546
21,2,Milk ,4519
21,2,Grocery ,4602
21,2,Frozen ,1066
21,2,Deli ,2124
21,2,Detergents ,2259
22,1,Fresh ,5567
22,1,Milk ,871
22,1,Grocery ,2010
22,1,Frozen ,3383
22,1,Deli ,569
22,1,Detergents ,375
23,1,Fresh ,31276
23,1,Milk ,1917
23,1,Grocery ,4469
23,1,Frozen ,9408
23,1,Deli ,4334
23,1,Detergents ,2381
24,2,Fresh ,26373
24,2,Milk ,36423
24,2,Grocery ,22019
24,2,Frozen ,5154
24,2,Deli ,16523
24,2,Detergents ,4337
25,2,Fresh ,22647
25,2,Milk ,9776
25,2,Grocery ,13792
25,2,Frozen ,2915
25,2,Deli ,5778
25,2,Detergents ,4482
26,2,Fresh ,16165
26,2,Milk ,4230
26,2,Grocery ,7595
26,2,Frozen ,201
26,2,Deli ,57
26,2,Detergents ,4003
27,1,Fresh ,9898
27,1,Milk ,961
27,1,Grocery ,2861
27,1,Frozen ,3151
27,1,Deli ,833
27,1,Detergents ,242
28,1,Fresh ,14276
28,1,Milk ,803
28,1,Grocery ,3045
28,1,Frozen ,485
28,1,Deli ,518
28,1,Detergents ,100
29,2,Fresh ,4113
29,2,Milk ,20484
29,2,Grocery ,25957
29,2,Frozen ,1158
29,2,Deli ,5206
29,2,Detergents ,8604
30,1,Fresh ,43088
30,1,Milk ,2100
30,1,Grocery ,2609
30,1,Frozen ,1200
30,1,Deli ,823
30,1,Detergents ,1107
31,1,Fresh ,18815
31,1,Milk ,3610
31,1,Grocery ,11107
31,1,Frozen ,1148
31,1,Deli ,2963
31,1,Detergents ,2134
32,1,Fresh ,2612
32,1,Milk ,4339
32,1,Grocery ,3133
32,1,Frozen ,2088
32,1,Deli ,985
32,1,Detergents ,820
33,1,Fresh ,21632
33,1,Milk ,1318
33,1,Grocery ,2886
33,1,Frozen ,266
33,1,Deli ,405
33,1,Detergents ,918
34,1,Fresh ,29729
34,1,Milk ,4786
34,1,Grocery ,7326
34,1,Frozen ,6130
34,1,Deli ,1083
34,1,Detergents ,361
35,1,Fresh ,1502
35,1,Milk ,1979
35,1,Grocery ,2262
35,1,Frozen ,425
35,1,Deli ,395
35,1,Detergents ,483
36,2,Fresh ,688
36,2,Milk ,5491
36,2,Grocery ,11091
36,2,Frozen ,833
36,2,Deli ,436
36,2,Detergents ,4239
37,1,Fresh ,29955
37,1,Milk ,4362
37,1,Grocery ,5428
37,1,Frozen ,1729
37,1,Deli ,4626
37,1,Detergents ,862
38,2,Fresh ,15168
38,2,Milk ,10556
38,2,Grocery ,12477
38,2,Frozen ,1920
38,2,Deli ,714
38,2,Detergents ,6506
39,2,Fresh ,4591
39,2,Milk ,15729
39,2,Grocery ,16709
39,2,Frozen ,33
39,2,Deli ,433
39,2,Detergents ,6956
40,1,Fresh ,56159
40,1,Milk ,555
40,1,Grocery ,902
40,1,Frozen ,10002
40,1,Deli ,2916
40,1,Detergents ,212
41,1,Fresh ,24025
41,1,Milk ,4332
41,1,Grocery ,4757
41,1,Frozen ,9510
41,1,Deli ,5864
41,1,Detergents ,1145
42,1,Fresh ,19176
42,1,Milk ,3065
42,1,Grocery ,5956
42,1,Frozen ,2033
42,1,Deli ,2802
42,1,Detergents ,2575
43,2,Fresh ,10850
43,2,Milk ,7555
43,2,Grocery ,14961
43,2,Frozen ,188
43,2,Deli ,46
43,2,Detergents ,6899
44,2,Fresh ,630
44,2,Milk ,11095
44,2,Grocery ,23998
44,2,Frozen ,787
44,2,Deli ,72
44,2,Detergents ,9529
45,2,Fresh ,9670
45,2,Milk ,7027
45,2,Grocery ,10471
45,2,Frozen ,541
45,2,Deli ,65
45,2,Detergents ,4618
46,2,Fresh ,5181
46,2,Milk ,22044
46,2,Grocery ,21531
46,2,Frozen ,1740
46,2,Deli ,4985
46,2,Detergents ,7353
47,2,Fresh ,3103
47,2,Milk ,14069
47,2,Grocery ,21955
47,2,Frozen ,1668
47,2,Deli ,1452
47,2,Detergents ,6792
48,2,Fresh ,44466
48,2,Milk ,54259
48,2,Grocery ,55571
48,2,Frozen ,7782
48,2,Deli ,6465
48,2,Detergents ,24171
49,2,Fresh ,11519
49,2,Milk ,6152
49,2,Grocery ,10868
49,2,Frozen ,584
49,2,Deli ,1476
49,2,Detergents ,5121
50,2,Fresh ,4967
50,2,Milk ,21412
50,2,Grocery ,28921
50,2,Frozen ,1798
50,2,Deli ,1163
50,2,Detergents ,13583
51,1,Fresh ,6269
